scheme_id,scheme_name,persona,sub_category,authority,gender,min_age,max_age,income_ceiling,min_land,category,state,disability_required,bpl_required,benefit_desc,benefit_amount,official_url,required_docs
1,Central Sector Scholarship Scheme,Student,All,Central,All,17,25,800000,0.0,All,All,No,No,Merit scholarship for college and university students based on Class 12 board percentile.,₹12000-20000/year,https://scholarships.gov.in,Aadhaar;Income Certificate;12th Marksheet
2,National Means-Cum-Merit Scholarship,Student,All,Central,All,13,18,350000,0.0,All,All,No,No,Financial support for meritorious students of economically weaker sections from Class 9 to 12.,₹12000/year,https://scholarships.gov.in,Aadhaar;Income Certificate;Previous Year Marksheet
3,Pragati Scholarship for Girl Students,Student,All,Central,All,17,25,800000,0.0,All,All,No,No,AICTE scholarship encouraging girl students to pursue technical degree or diploma courses.,₹50000/year,https://aicte-india.org,Aadhaar;Income Certificate;Admission Proof
4,Saksham Scholarship Scheme for Differently-Abled,Student,All,Central,All,16,30,800000,0.0,All,All,Yes,No,AICTE scholarship supporting differently-abled students pursuing technical education.,₹50000/year,https://aicte-india.org,Aadhaar;Disability Certificate;Admission Proof
5,Post-Matric Scholarship for SC Students,Student,All,Central,All,15,30,250000,0.0,SC,All,No,No,Financial assistance for SC students pursuing post-secondary education.,Tuition Fee + Maintenance,https://scholarships.gov.in,Aadhaar;Caste Certificate;Income Certificate
6,Post-Matric Scholarship for ST Students,Student,All,Central,All,15,30,250000,0.0,ST,All,No,No,Financial assistance for ST students pursuing post-secondary courses.,Tuition Fee + Maintenance,https://scholarships.gov.in,Aadhaar;Caste Certificate;Income Certificate
7,Post-Matric Scholarship for OBC Students,Student,All,Central,All,15,30,250000,0.0,OBC,All,No,No,Central assistance for OBC students studying at post-matriculation or higher levels.,Variable Maintenance Allowance,https://scholarships.gov.in,Aadhaar;Caste Certificate;Income Certificate
8,Pre-Matric Scholarship for SC and ST Students,Student,All,Central,All,10,16,250000,0.0,SC/ST,All,No,No,Scholarship for SC/ST students in Class 9 and 10 to reduce school dropout rates.,₹3500-7000/year,https://scholarships.gov.in,Aadhaar;Caste Certificate;School Bonafide
9,Pre-Matric Scholarship for OBC Students,Student,All,Central,All,10,16,250000,0.0,OBC,All,No,No,Financial assistance for OBC school students in Classes 9 and 10.,₹4000/year,https://scholarships.gov.in,Aadhaar;Caste Certificate;Income Certificate
10,Begum Hazrat Mahal National Scholarship,Student,All,Central,All,14,18,200000,0.0,All,All,No,No,Scholarship for meritorious girl students belonging to minority communities.,₹5000-6000/year,https://scholarships.gov.in,Aadhaar;Income Certificate;School Bonafide
11,AICTE Swanath Scholarship Scheme,Student,All,Central,All,17,25,800000,0.0,All,All,No,No,Scholarship for orphans or wards of parents deceased due to COVID or martyrs.,₹50000/year,https://aicte-india.org,Aadhaar;Death Certificate of Parent;Admission Proof
12,Mukhyamantri Yuva Swavalamban Yojana (MYSY),Student,All,Central,All,17,26,600000,0.0,All,Gujarat,No,No,Gujarat flag-ship scheme providing tuition fee and hostel assistance for diploma/degree courses.,Up to ₹200000/year,https://mysy.guj.nic.in,Aadhaar;Gujarat Domicile;Income Certificate;12th Marksheet
13,Digital Gujarat Post Matric Scholarship SC,Student,All,Central,All,15,30,250000,0.0,SC,Gujarat,No,No,Comprehensive state scholarship for SC students studying in Gujarat institutions.,100% Tuition Fee Waiver,https://www.digitalgujarat.gov.in,Aadhaar;SC Caste Certificate;Income Certificate
14,Digital Gujarat Post Matric Scholarship ST,Student,All,Central,All,15,30,250000,0.0,ST,Gujarat,No,No,Full tuition fee and maintenance support for ST students across Gujarat.,100% Tuition Fee Waiver,https://www.digitalgujarat.gov.in,Aadhaar;ST Caste Certificate;Income Certificate
15,Digital Gujarat Post Matric Scholarship SEBC OBC,Student,All,Central,All,15,30,250000,0.0,OBC,Gujarat,No,No,Scholarship for SEBC/OBC students in Gujarat colleges and technical institutes.,Tuition Fee Support,https://www.digitalgujarat.gov.in,Aadhaar;SEBC Caste Certificate;Income Certificate
16,Chief Minister Scholarship Scheme CMSS,Student,All,Central,All,17,25,450000,0.0,All,Gujarat,No,No,Merit scholarship for high-performing Gujarat board students in higher education.,Up to ₹100000/year,https://scholarships.gujarat.gov.in,Aadhaar;Income Certificate;Board Marksheet
17,Swami Vivekananda Stipend Scheme Technical,Student,All,Central,All,16,25,0,0.0,All,Gujarat,No,No,Stipend for ITI and technical diploma students across Gujarat state institutions.,₹400/month,https://www.digitalgujarat.gov.in,Aadhaar;ITI Admission Proof;Bank Passbook
18,Kanya Kelavani Nidhi Scholarship,Student,All,Central,All,17,24,600000,0.0,All,Gujarat,No,No,Special incentive scholarship for girl students pursuing medical and engineering courses in Gujarat.,Tuition Fee Assistance,https://www.digitalgujarat.gov.in,Aadhaar;Admission Fee Receipt;Domicile Certificate
19,Shodh Doctoral Fellowship Scheme Gujarat,Student,All,Central,All,21,35,0,0.0,All,Gujarat,No,No,Monthly fellowship for PhD research scholars enrolled in Gujarat universities.,₹15000/month + Contingency,https://shodh.gujarat.gov.in,Aadhaar;PhD Registration Letter;Master Degree Marksheet
20,Higher Education Scheme for EWS Students,Student,All,Central,All,17,25,800000,0.0,General,Gujarat,No,No,Tuition assistance for Economically Weaker Section (EWS) general category students.,50% Fee Waiver,https://www.digitalgujarat.gov.in,Aadhaar;EWS Certificate;Income Certificate
21,Free Ship Card for SC Students Gujarat,Student,All,Central,All,17,30,250000,0.0,SC,Gujarat,No,No,Card enabling zero-upfront tuition fee admission in technical institutions for SC students.,Free Admission Assurance,https://www.digitalgujarat.gov.in,Aadhaar;SC Caste Certificate;Income Certificate
22,Pandit Deendayal Upadhyay Scholarship Gujarat,Student,All,Central,All,16,28,250000,0.0,All,Gujarat,No,No,Scholarship for disabled and needy students studying in Gujarat state.,₹5000-15000/year,https://sje.gujarat.gov.in,Aadhaar;Disability Certificate;Income Certificate
23,Instrumentation Loan Scheme Medical Engineering,Student,All,Central,All,17,26,250000,0.0,SC,Gujarat,No,No,Financial aid to purchase instruments and equipment for engineering/medical students.,₹8000-10000 One Time,https://www.digitalgujarat.gov.in,Aadhaar;Caste Certificate;College Fee Receipt
24,Food Bill Assistance Scheme SC ST Gujarat,Student,All,Central,All,17,28,250000,0.0,SC/ST,Gujarat,No,No,Monthly food assistance for students residing in college hostels.,₹1500/month,https://www.digitalgujarat.gov.in,Aadhaar;Hostel Certificate;Caste Certificate
25,Uniform Assistance Scheme SC ST Gujarat,Student,All,Central,All,6,16,0,0.0,SC/ST,Gujarat,No,No,Free school uniform grant for ST tribal students in Gujarat government schools.,₹900/year,https://tribal.gujarat.gov.in,Aadhaar;School Bonafide;ST Certificate
26,Dr Ambedkar Post-Matric Scholarship,Student,All,Central,All,16,30,250000,0.0,SC,All,No,No,National scholarship providing maintenance and tuition fee coverage for SC students.,Full Tuition Coverage,https://scholarships.gov.in,Aadhaar;SC Certificate;Income Certificate
27,Eklavya Model Residential School Support,Student,All,Central,All,11,18,0,0.0,ST,All,No,No,Free residential schooling and academic support for ST students in tribal districts.,Free Education & Boarding,https://tribal.nic.in,Aadhaar;ST Certificate;Domicile Certificate
28,Top Class Education Scheme for SC Students,Student,All,Central,All,17,26,800000,0.0,SC,All,No,No,Full funding for SC students securing admission in premier national institutes (IITs/IIMs/NITs).,Full Fees + Living Expenses,https://scholarships.gov.in,Aadhaar;SC Certificate;Premier Institute Admission
29,National Fellowship for OBC Students,Student,All,Central,All,21,35,800000,0.0,OBC,All,No,No,Fellowship for advanced MPhil and PhD studies for OBC scholars.,₹31000/month,https://ugc.ac.in,Aadhaar;OBC Certificate;PhD Enrollment
30,Prime Minister Research Fellowship PMRF,Student,All,Central,All,21,30,0,0.0,All,All,No,No,Prestigious research fellowship for doctoral students in science and technology.,₹70000-80000/month,https://www.pmrf.in,Aadhaar;GATE/NET Score;PhD Admission
31,Merit-Cum-Means Professional Technical Courses,Student,All,Central,All,17,26,250000,0.0,All,All,No,No,Scholarship for professional degree students from minority communities.,₹30000/year,https://scholarships.gov.in,Aadhaar;Minority Certificate;Income Certificate
32,Kishore Vaigyanik Protsahan Yojana INSPIRE,Student,All,Central,All,16,22,0,0.0,All,All,No,No,Department of Science & Technology scholarship for basic science undergraduate students.,₹80000/year,https://online-inspire.gov.in,Aadhaar;12th Top 1% Percentile;Science College Enrollment
33,INSPIRE Scholarship for Higher Education SHE,Student,All,Central,All,17,22,0,0.0,All,All,No,No,Scholarship encouraging top 1% Class 12 board rankers to pursue natural sciences.,₹80000/year,https://online-inspire.gov.in,Aadhaar;12th Board Certificate;BSc Enrollment
34,Vidyalakshmi Education Loan Interest Subsidy,Student,All,Central,All,17,30,450000,0.0,All,All,No,No,Central interest subsidy on education loans during moratorium period.,100% Interest Waiver,https://www.vidyalakshmi.co.in,Aadhaar;Income Certificate;Bank Loan Sanction
35,Gujarat Career Guidance Coaching Scheme,Student,All,Central,All,18,30,300000,0.0,All,Gujarat,No,No,Financial assistance for coaching for UPSC/GPSC competitive examinations.,₹20000 Coaching Subsidy,https://sje.gujarat.gov.in,Aadhaar;Graduation Degree;Coaching Enrollment
36,PM-KISAN Samman Nidhi,Farmer,All,Central,All,18,100,0,0.0,All,All,No,No,Direct income support of Rs 6000 per year transferred in three equal installments to landholding farmers.,₹6000/year,https://pmkisan.gov.in,Aadhaar;Land Ownership Document (7/12);Bank Passbook
37,Pradhan Mantri Fasal Bima Yojana PMFBY,Farmer,All,Central,All,18,100,0,0.0,All,All,No,No,Comprehensive crop insurance scheme protecting farmers against non-preventable natural risks.,Crop Insurance Cover,https://pmfby.gov.in,Aadhaar;Land Record;Sowing Certificate
38,Kisan Credit Card KCC Scheme,Farmer,All,Central,All,18,75,0,0.0,All,All,No,No,Affordable institutional agricultural credit with subsidized interest rates for farmers.,Credit Limit up to ₹300000,https://myscheme.gov.in,Aadhaar;Land Title Document;Passport Photo
39,PM Krishi Sinchayee Yojana PMKSY,Farmer,All,Central,All,18,100,0,0.5,All,All,No,No,Financial support for micro-irrigation systems (drip/sprinkler) to expand assured water access.,55-80% Equipment Subsidy,https://pmksy.gov.in,Aadhaar;Land Document;Water Source Details
40,Soil Health Card Scheme,Farmer,All,Central,All,18,100,0,0.0,All,All,No,No,Free testing of farm soil and advisory card on customized crop fertilizer dosage.,Free Soil Analysis Report,https://soilhealth.dac.gov.in,Aadhaar;Land Plot Details (Survey No)
41,National Agriculture Market e-NAM,Farmer,All,Central,All,18,100,0,0.0,All,All,No,No,Unified national electronic market platform connecting APMC mandis for transparent farmer pricing.,Pan-India Market Access,https://enam.gov.in,Aadhaar;Bank Account;Land Detail
42,PM Kisan Maan Dhan Yojana PM-KMY,Farmer,All,Central,All,18,40,0,0.0,All,All,No,No,Contributory pension scheme assuring Rs 3000 monthly pension for small and marginal farmers after age 60.,₹3000/month after 60,https://maandhan.in,Aadhaar;PM-KISAN ID;Bank Passbook
43,PM KUSUM Solar Pump Subsidy Scheme,Farmer,All,Central,All,18,75,0,0.5,All,All,No,No,Capital subsidy for installing standalone solar agriculture water pumps on farmlands.,60% Solar Pump Subsidy,https://pmkusum.mnre.gov.in,Aadhaar;Land Record 7/12;Bank Passbook
44,Paramparagat Krishi Vikas Yojana PKVY,Farmer,All,Central,All,18,100,0,0.5,All,All,No,No,Financial assistance and cluster training for adopting certified organic farming practices.,₹50000 per Hectare over 3 years,https://pgsindia-ncof.gov.in,Aadhaar;Land Ownership Proof;Cluster Registration
